Vehicle ID,Vehicle Number,Driver ID,Driver Name,Driver Contact,Driver Email,Speed Min (km/h),Speed Max (km/h),Location,Time,Trip Start Time,Trip End Time,Trip Distance (km),Trip Duration (min),No. of Trips Covered by Vehicle,Overspeed Alert,Harsh Braking Alert,GPS Disconnect Alert,Ignition On/Off Alert,Night Driving Alert
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,0,90,"Panvel, Maharashtra",2026-08-01 06:15:00,2026-08-01 06:15:00,2026-08-01 07:08:00,41.55,53,13,Yes,Yes,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,2,82,"Pune, Maharashtra",2026-08-01 08:15:00,2026-08-01 08:15:00,2026-08-01 08:47:00,39.87,32,13,Yes,No,No,On,No
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,8,55,"Belapur, Maharashtra",2026-08-01 10:15:00,2026-08-01 10:15:00,2026-08-01 13:10:00,111.96,175,13,No,Yes,No,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,2,103,"Mumbai, Maharashtra",2026-08-01 12:15:00,2026-08-01 12:15:00,2026-08-01 13:06:00,21.25,51,13,No,No,No,On,No
VH005,MH14JK7890,DRV005,Neha Deshmukh,9876543214,neha.deshmukh@example.com,17,92,"Thane, Maharashtra",2026-08-02 06:15:00,2026-08-02 06:15:00,2026-08-02 07:00:00,121.63,45,12,Yes,No,No,On,Yes
VH006,MH47LM2345,DRV006,Kunal More,9876543215,kunal.more@example.com,2,84,"Kharghar, Maharashtra",2026-08-02 08:15:00,2026-08-02 08:15:00,2026-08-02 09:54:00,126.71,99,12,Yes,No,No,On,No
VH007,MH01NP6789,DRV007,Priya Nair,9876543216,priya.nair@example.com,19,76,"Lonavala, Maharashtra",2026-08-02 10:15:00,2026-08-02 10:15:00,2026-08-02 10:58:00,81.18,43,12,No,Yes,No,On,No
VH008,MH05QR0123,DRV008,Vikram Singh,9876543217,vikram.singh@example.com,21,96,"Thane, Maharashtra",2026-08-02 12:15:00,2026-08-02 12:15:00,2026-08-02 13:36:00,123.47,81,12,No,Yes,Yes,On,No
VH001,MH04AB1234,DRV001,Aarav Sharma,9876543210,aarav.sharma@example.com,22,95,"Lonavala, Maharashtra",2026-08-03 06:15:00,2026-08-03 06:15:00,2026-08-03 09:05:00,37.13,170,13,Yes,No,No,On,No
VH002,MH46CD5678,DRV002,Rohan Patil,9876543211,rohan.patil@example.com,8,109,"Panvel, Maharashtra",2026-08-03 08:15:00,2026-08-03 08:15:00,2026-08-03 10:57:00,131.0,162,13,Yes,Yes,No,On,Yes
VH003,MH12EF9012,DRV003,Sneha Joshi,9876543212,sneha.joshi@example.com,4,75,"Lonavala, Maharashtra",2026-08-03 10:15:00,2026-08-03 10:15:00,2026-08-03 11:08:00,116.51,53,13,No,No,Yes,On,No
VH004,MH43GH3456,DRV004,Aditya Kulkarni,9876543213,aditya.kulkarni@example.com,17,56,"Belapur, Maharashtra",2026-08-03 12:15:00,2026-08-03 12:15:00,2026-08-03 13:44:00,101.2,89,13,No,Yes,No,On,No
